h_value,rowid,lon,lat,year,rcp,spp,total_value,time_step
0.848925169557333,2254,-152.5,6.5,2009,rcp85,skj,0.848925169557333,present
0.8306680135428905,2255,-150.5,6.5,2009,rcp85,skj,0.8306680135428905,present
0.789016243070364,2257,-146.5,6.5,2009,rcp85,skj,0.789016243070364,present
0.7962982952594757,2258,-144.5,6.5,2009,rcp85,skj,0.7962982952594757,present
0.8183867335319519,2259,-142.5,6.5,2009,rcp85,skj,0.8183867335319519,present
0.8298738673329353,2260,-140.5,6.5,2009,rcp85,skj,0.8298738673329353,present
0.5669757425785065,2336,-158.5,8.5,2009,rcp85,skj,0.5669757425785065,present
0.5210030563175678,2337,-156.5,8.5,2009,rcp85,skj,0.5210030563175678,present
0.4942835308611393,2338,-154.5,8.5,2009,rcp85,skj,0.4942835308611393,present
0.48347262293100357,2339,-152.5,8.5,2009,rcp85,skj,0.48347262293100357,present
0.4740988649427891,2340,-150.5,8.5,2009,rcp85,skj,0.4740988649427891,present
0.46656299382448196,2341,-148.5,8.5,2009,rcp85,skj,0.46656299382448196,present
0.4677366428077221,2342,-146.5,8.5,2009,rcp85,skj,0.4677366428077221,present
0.47798170894384384,2343,-144.5,8.5,2009,rcp85,skj,0.47798170894384384,present
0.49006709828972816,2344,-142.5,8.5,2009,rcp85,skj,0.49006709828972816,present
0.5105350539088249,2345,-140.5,8.5,2009,rcp85,skj,0.5105350539088249,present
0.5340739041566849,2346,-138.5,8.5,2009,rcp85,skj,0.5340739041566849,present
0.5495846606791019,2347,-136.5,8.5,2009,rcp85,skj,0.5495846606791019,present
0.5766423530876637,2348,-134.5,8.5,2009,rcp85,skj,0.5766423530876637,present
0.603086955845356,2349,-132.5,8.5,2009,rcp85,skj,0.603086955845356,present
0.6611796654760838,2350,-130.5,8.5,2009,rcp85,skj,0.6611796654760838,present
0.740811612457037,2351,-128.5,8.5,2009,rcp85,skj,0.740811612457037,present
0.775436844676733,2352,-126.5,8.5,2009,rcp85,skj,0.775436844676733,present
0.5988250337541103,2355,-120.5,8.5,2009,rcp85,skj,0.5988250337541103,present
0.5406026318669319,2356,-118.5,8.5,2009,rcp85,skj,0.5406026318669319,present
0.47140737622976303,2357,-116.5,8.5,2009,rcp85,skj,0.47140737622976303,present
0.39419942907989025,2421,-158.5,10.5,2009,rcp85,skj,0.39419942907989025,present
0.3809917103499174,2422,-156.5,10.5,2009,rcp85,skj,0.3809917103499174,present
0.37005091458559036,2423,-154.5,10.5,2009,rcp85,skj,0.37005091458559036,present
0.3617570213973522,2424,-152.5,10.5,2009,rcp85,skj,0.3617570213973522,present
0.3529078159481287,2425,-150.5,10.5,2009,rcp85,skj,0.3529078159481287,present
0.3510965034365654,2426,-148.5,10.5,2009,rcp85,skj,0.3510965034365654,present
0.35450114868581295,2427,-146.5,10.5,2009,rcp85,skj,0.35450114868581295,present
0.36248348094522953,2428,-144.5,10.5,2009,rcp85,skj,0.36248348094522953,present
0.3776714112609625,2429,-142.5,10.5,2009,rcp85,skj,0.3776714112609625,present
0.4006941821426153,2430,-140.5,10.5,2009,rcp85,skj,0.4006941821426153,present
0.41966788470745087,2431,-138.5,10.5,2009,rcp85,skj,0.41966788470745087,present
0.43968973495066166,2432,-136.5,10.5,2009,rcp85,skj,0.43968973495066166,present
0.46088522486388683,2433,-134.5,10.5,2009,rcp85,skj,0.46088522486388683,present
0.48572272807359695,2434,-132.5,10.5,2009,rcp85,skj,0.48572272807359695,present
0.5514517799019814,2435,-130.5,10.5,2009,rcp85,skj,0.5514517799019814,present
0.5924066081643105,2436,-128.5,10.5,2009,rcp85,skj,0.5924066081643105,present
0.5681897923350334,2437,-126.5,10.5,2009,rcp85,skj,0.5681897923350334,present
0.5160037986934185,2438,-124.5,10.5,2009,rcp85,skj,0.5160037986934185,present
0.4817198049277067,2439,-122.5,10.5,2009,rcp85,skj,0.4817198049277067,present
0.4281003177165985,2440,-120.5,10.5,2009,rcp85,skj,0.4281003177165985,present
0.39594957046210766,2441,-118.5,10.5,2009,rcp85,skj,0.39594957046210766,present
0.3815492130815983,2442,-116.5,10.5,2009,rcp85,skj,0.3815492130815983,present
0.3906889371573925,2443,-114.5,10.5,2009,rcp85,skj,0.3906889371573925,present
0.28607767820358276,2508,-154.5,12.5,2009,rcp85,skj,0.28607767820358276,present
0.2850331421941519,2510,-150.5,12.5,2009,rcp85,skj,0.2850331421941519,present
0.2819556277245283,2511,-148.5,12.5,2009,rcp85,skj,0.2819556277245283,present
0.2838198523968458,2512,-146.5,12.5,2009,rcp85,skj,0.2838198523968458,present
0.290413573384285,2513,-144.5,12.5,2009,rcp85,skj,0.290413573384285,present
0.3014061637222767,2514,-142.5,12.5,2009,rcp85,skj,0.3014061637222767,present
0.3128553759306669,2515,-140.5,12.5,2009,rcp85,skj,0.3128553759306669,present
0.32908117212355137,2516,-138.5,12.5,2009,rcp85,skj,0.32908117212355137,present
0.35410451143980026,2517,-136.5,12.5,2009,rcp85,skj,0.35410451143980026,present
0.3884065728634596,2518,-134.5,12.5,2009,rcp85,skj,0.3884065728634596,present
0.43235818669199944,2519,-132.5,12.5,2009,rcp85,skj,0.43235818669199944,present
0.4643687419593334,2520,-130.5,12.5,2009,rcp85,skj,0.4643687419593334,present
0.49489014223217964,2521,-128.5,12.5,2009,rcp85,skj,0.49489014223217964,present
0.49920112639665604,2522,-126.5,12.5,2009,rcp85,skj,0.49920112639665604,present
0.46672068908810616,2523,-124.5,12.5,2009,rcp85,skj,0.46672068908810616,present
