spp,rcp,zone,year,total_value
bet,rcp45,CCZ,2026,3.552782085239111
bet,rcp45,Outside,2026,87.30300431128126
bet,rcp85,CCZ,2026,3.6391717835892146
bet,rcp85,Outside,2026,90.51733584290014
bet,rcp45,CCZ,2027,3.6044269055807185
bet,rcp45,Outside,2027,87.35127961579565
bet,rcp85,CCZ,2027,3.598145966146452
bet,rcp85,Outside,2027,90.77189045316845
bet,rcp45,CCZ,2028,3.6488770905610486
bet,rcp45,Outside,2028,87.57219631358505
bet,rcp85,CCZ,2028,3.5130548601737246
bet,rcp85,Outside,2028,89.86080637248779
bet,rcp45,CCZ,2029,3.6401712670340203
bet,rcp45,Outside,2029,87.85533072438314
bet,rcp85,CCZ,2029,3.687065081874607
bet,rcp85,Outside,2029,89.44393185814624
bet,rcp45,CCZ,2030,3.6598965096636675
bet,rcp45,Outside,2030,88.0724120835536
bet,rcp85,CCZ,2030,3.7803644359034174
bet,rcp85,Outside,2030,89.60085839666863
bet,rcp45,CCZ,2031,3.6204827856951547
bet,rcp45,Outside,2031,87.75748871860135
bet,rcp85,CCZ,2031,3.585592214464365
bet,rcp85,Outside,2031,90.14917424668359
bet,rcp45,CCZ,2032,3.530057031020988
bet,rcp45,Outside,2032,86.94445490517865
bet,rcp85,CCZ,2032,3.675954588543391
bet,rcp85,Outside,2032,90.52639512458154
bet,rcp45,CCZ,2033,3.491770277993055
bet,rcp45,Outside,2033,86.39220711652463
bet,rcp85,CCZ,2033,3.7333953090807577
bet,rcp85,Outside,2033,91.09335587633056
bet,rcp45,CCZ,2034,3.570159905134157
bet,rcp45,Outside,2034,86.18035900170919
bet,rcp85,CCZ,2034,3.7656145878039147
bet,rcp85,Outside,2034,90.8747423392039
bet,rcp45,CCZ,2035,3.675402096559992
bet,rcp45,Outside,2035,86.26422250299099
bet,rcp85,CCZ,2035,3.7146743104385678
bet,rcp85,Outside,2035,91.16921186899465
bet,rcp45,CCZ,2036,3.6342946495181727
bet,rcp45,Outside,2036,86.55652546523561
bet,rcp85,CCZ,2036,3.674848074374798
bet,rcp85,Outside,2036,91.86210768260935
bet,rcp45,CCZ,2037,3.6484967218226907
bet,rcp45,Outside,2037,87.15644449104366
bet,rcp85,CCZ,2037,3.6786748036781014
bet,rcp85,Outside,2037,91.66680271675493
bet,rcp45,CCZ,2038,3.718311259173788
bet,rcp45,Outside,2038,88.21190850195005
bet,rcp85,CCZ,2038,3.6575429875811096
bet,rcp85,Outside,2038,91.3140021974444
bet,rcp45,CCZ,2039,3.7802058920788113
bet,rcp45,Outside,2039,89.29513266625084
bet,rcp85,CCZ,2039,3.717008313018596
bet,rcp85,Outside,2039,91.08932700140151
bet,rcp45,CCZ,2040,3.7981952670476553
bet,rcp45,Outside,2040,90.14600893936829
bet,rcp85,CCZ,2040,3.687301505871195
bet,rcp85,Outside,2040,91.09122500378847
bet,rcp45,CCZ,2041,3.806069928357222
bet,rcp45,Outside,2041,90.44387452958108
bet,rcp85,CCZ,2041,3.7726969520153943
bet,rcp85,Outside,2041,91.0479602663163
bet,rcp45,CCZ,2042,3.816144895167478
bet,rcp45,Outside,2042,90.78538813485466
bet,rcp85,CCZ,2042,3.7652011247215946
bet,rcp85,Outside,2042,91.17164859421973
bet,rcp45,CCZ,2043,3.8073700379366833
bet,rcp45,Outside,2043,90.91275198128703
bet,rcp85,CCZ,2043,3.636946011072723
bet,rcp85,Outside,2043,91.3606710659551
bet,rcp45,CCZ,2044,3.8151285423567365
bet,rcp45,Outside,2044,90.90325995387502
bet,rcp85,CCZ,2044,3.78580636769766
bet,rcp85,Outside,2044,92.11646672933178
bet,rcp45,CCZ,2045,3.800607941588775
bet,rcp45,Outside,2045,90.77478780884303
bet,rcp85,CCZ,2045,3.9128495851376406
bet,rcp85,Outside,2045,92.22269297725931
bet,rcp45,CCZ,2046,3.7821582214479954
bet,rcp45,Outside,2046,90.54517403712816
bet,rcp85,CCZ,2046,3.7863926652838322
bet,rcp85,Outside,2046,92.47472939931079
bet,rcp45,CCZ,2047,3.751409122312907
bet,rcp45,Outside,2047,90.21806752581385
bet,rcp85,CCZ,2047,3.807426791599331
bet,rcp85,Outside,2047,92.75867578787195
bet,rcp45,CCZ,2048,3.7323369640798774
bet,rcp45,Outside,2048,89.7854359480037
bet,rcp85,CCZ,2048,3.90755805397445
bet,rcp85,Outside,2048,92.64026014081476
bet,rcp45,CCZ,2049,3.7034201268785787
bet,rcp45,Outside,2049,89.33906482444824
bet,rcp85,CCZ,2049,3.7735925531984926
bet,rcp85,Outside,2049,92.14026642815588
bet,rcp45,CCZ,2050,3.6925341384776402
bet,rcp45,Outside,2050,88.93964949445096
bet,rcp85,CCZ,2050,3.757028571989698
bet,rcp85,Outside,2050,91.76181550754579
bet,rcp45,CCZ,2051,3.6828945085483915
bet,rcp45,Outside,2051,88.64689403960558
bet,rcp85,CCZ,2051,3.5393207362794783
bet,rcp85,Outside,2051,90.67358668875447
bet,rcp45,CCZ,2052,3.6614776604498425
bet,rcp45,Outside,2052,88.46985602569232
bet,rcp85,CCZ,2052,3.560067476190549
bet,rcp85,Outside,2052,90.33235495799393
bet,rcp45,CCZ,2053,3.6581865164431897
bet,rcp45,Outside,2053,88.4720421465936
bet,rcp85,CCZ,2053,3.65598515564731
bet,rcp85,Outside,2053,90.19448638894512
bet,rcp45,CCZ,2054,3.6610260658635525
bet,rcp45,Outside,2054,88.55564180194051
bet,rcp85,CCZ,2054,3.620699333254985
bet,rcp85,Outside,2054,90.01492229982796
bet,rcp45,CCZ,2055,3.6631132181209978
bet,rcp45,Outside,2055,88.66330636941045
bet,rcp85,CCZ,2055,3.6969209748203866
bet,rcp85,Outside,2055,89.33772717978354
