spp,rcp,zone,year,total_value
skj,rcp45,Outside,2026,149.15426612977853
skj,rcp85,CCZ,2026,6.893576567167959
skj,rcp85,Outside,2026,146.60057294441935
skj,rcp45,CCZ,2027,5.847935732842113
skj,rcp45,Outside,2027,148.66952254891044
skj,rcp85,CCZ,2027,7.345859013109778
skj,rcp85,Outside,2027,147.1789152888558
skj,rcp45,CCZ,2028,5.936843203545625
skj,rcp45,Outside,2028,147.72762969251616
skj,rcp85,CCZ,2028,6.9916198506155824
skj,rcp85,Outside,2028,145.98161512568944
skj,rcp45,CCZ,2029,6.1107360510989865
skj,rcp45,Outside,2029,145.40556118758226
skj,rcp85,CCZ,2029,5.324384841204544
skj,rcp85,Outside,2029,148.04240394311523
skj,rcp45,CCZ,2030,6.893855059276878
skj,rcp45,Outside,2030,142.99216000208457
skj,rcp85,CCZ,2030,6.032488023930152
skj,rcp85,Outside,2030,150.4279596690184
skj,rcp45,CCZ,2031,7.181737340152419
skj,rcp45,Outside,2031,143.20828366195488
skj,rcp85,CCZ,2031,6.493297760200221
skj,rcp85,Outside,2031,146.12855167685393
skj,rcp45,CCZ,2032,7.124436808885851
skj,rcp45,Outside,2032,142.55708827579983
skj,rcp85,CCZ,2032,5.6574464430693
skj,rcp85,Outside,2032,148.9275603681897
skj,rcp45,CCZ,2033,6.670311093136358
skj,rcp45,Outside,2033,143.94567759962624
skj,rcp85,CCZ,2033,5.635456750833934
skj,rcp85,Outside,2033,153.21764240349322
skj,rcp45,CCZ,2034,5.736773573201693
skj,rcp45,Outside,2034,144.2506342499531
skj,rcp85,CCZ,2034,5.680807805707445
skj,rcp85,Outside,2034,155.42932003140808
skj,rcp45,CCZ,2035,5.80577660636239
skj,rcp45,Outside,2035,146.5876722962056
skj,rcp85,CCZ,2035,6.224531236250186
skj,rcp85,Outside,2035,151.96865636357748
skj,rcp45,CCZ,2036,6.304878952874181
skj,rcp45,Outside,2036,151.52548655555157
skj,rcp85,CCZ,2036,6.2544332425265265
skj,rcp85,Outside,2036,149.77815475604066
skj,rcp45,CCZ,2037,6.322203626594273
skj,rcp45,Outside,2037,155.05466119378602
skj,rcp85,CCZ,2037,5.970434425932278
skj,rcp85,Outside,2037,148.32036375915433
skj,rcp45,CCZ,2038,6.204245868400903
skj,rcp45,Outside,2038,154.71745108432378
skj,rcp85,CCZ,2038,6.198160413904891
skj,rcp85,Outside,2038,147.35106023425547
skj,rcp45,CCZ,2039,5.717471153562656
skj,rcp45,Outside,2039,152.40056013653816
skj,rcp85,CCZ,2039,6.514497261911553
skj,rcp85,Outside,2039,148.45801359495908
skj,rcp45,CCZ,2040,5.677973621025255
skj,rcp45,Outside,2040,152.22923100923745
skj,rcp85,CCZ,2040,5.412114711182464
skj,rcp85,Outside,2040,147.10600787239082
skj,rcp45,CCZ,2041,5.848689437475211
skj,rcp45,Outside,2041,151.80785066718522
skj,rcp85,CCZ,2041,5.580261822387304
skj,rcp85,Outside,2041,149.51475260854215
skj,rcp45,CCZ,2042,6.216688192643535
skj,rcp45,Outside,2042,152.21400159463792
skj,rcp85,CCZ,2042,6.591010068237665
skj,rcp85,Outside,2042,154.39896580664814
skj,rcp45,CCZ,2043,6.368621387354021
skj,rcp45,Outside,2043,151.6764455850391
skj,rcp85,CCZ,2043,6.284218473699487
skj,rcp85,Outside,2043,147.90140625185688
skj,rcp45,CCZ,2044,6.187471092673756
skj,rcp45,Outside,2044,150.69051325467578
skj,rcp85,CCZ,2044,4.740728368968121
skj,rcp85,Outside,2044,149.46814789351853
skj,rcp45,CCZ,2045,6.180596275133818
skj,rcp45,Outside,2045,148.82708124994244
skj,rcp85,CCZ,2045,6.0165234528491665
skj,rcp85,Outside,2045,153.43125018024912
skj,rcp45,CCZ,2046,6.05451570492005
skj,rcp45,Outside,2046,147.17208506787415
skj,rcp85,CCZ,2046,6.408415169581228
skj,rcp85,Outside,2046,150.02833632021893
skj,rcp45,CCZ,2047,5.955376063769411
skj,rcp45,Outside,2047,145.7983781924778
skj,rcp85,CCZ,2047,5.611890712733536
skj,rcp85,Outside,2047,148.90896257624354
skj,rcp45,CCZ,2048,6.011437308368234
skj,rcp45,Outside,2048,145.32260129207648
skj,rcp85,CCZ,2048,5.451585098625704
skj,rcp85,Outside,2048,147.84511840432864
skj,rcp45,CCZ,2049,5.897699937078869
skj,rcp45,Outside,2049,144.71147984636173
skj,rcp85,CCZ,2049,6.02823021170722
skj,rcp85,Outside,2049,136.81522163641452
skj,rcp45,CCZ,2050,5.827970043494133
skj,rcp45,Outside,2050,145.46919349024256
skj,rcp85,CCZ,2050,6.023580380307976
skj,rcp85,Outside,2050,143.30963027674366
skj,rcp45,CCZ,2051,5.895150467399314
skj,rcp45,Outside,2051,146.69377467785213
skj,rcp85,CCZ,2051,7.082715664146235
skj,rcp85,Outside,2051,146.0359359448953
skj,rcp45,CCZ,2052,6.0462789188022725
skj,rcp45,Outside,2052,147.08246868490323
skj,rcp85,CCZ,2052,6.135453239873944
skj,rcp85,Outside,2052,149.80476381068516
skj,rcp45,CCZ,2053,5.997127820170135
skj,rcp45,Outside,2053,147.23630261378693
skj,rcp85,CCZ,2053,7.9708253628487
skj,rcp85,Outside,2053,140.56931911084294
skj,rcp45,CCZ,2054,5.89182464494661
skj,rcp45,Outside,2054,146.71737485120968
skj,rcp85,CCZ,2054,6.976206852928347
skj,rcp85,Outside,2054,138.5717187105
skj,rcp45,CCZ,2055,5.720637491487044
skj,rcp45,Outside,2055,146.85217775732883
skj,rcp85,CCZ,2055,6.430266129110047
skj,rcp85,Outside,2055,146.78443663416854
yft,historical,CCZ,1980,5.856726313941181
yft,historical,Outside,1980,105.80749863569024
yft,historical,CCZ,1981,6.037628122915824
yft,historical,Outside,1981,120.5026689637986
yft,historical,CCZ,1982,6.312594859705617
yft,historical,Outside,1982,131.57612182576364
yft,historical,CCZ,1983,6.258642445784062
yft,historical,Outside,1983,137.52999784406953
yft,historical,CCZ,1984,6.693034676058839
yft,historical,Outside,1984,141.42144595774394
yft,historical,CCZ,1985,6.779924728597204
yft,historical,Outside,1985,143.3708152907299
yft,historical,CCZ,1986,6.049757430950801
yft,historical,Outside,1986,141.09367830487705
yft,historical,CCZ,1987,5.800579940434545
yft,historical,Outside,1987,138.3165450800734
yft,historical,CCZ,1988,6.07201031067719
yft,historical,Outside,1988,140.61356909468304
yft,historical,CCZ,1989,6.485965845485528
yft,historical,Outside,1989,144.29343182919547
yft,historical,CCZ,1990,6.284360559812437
yft,historical,Outside,1990,145.97737847534395
yft,historical,CCZ,1991,5.764274721965194
yft,historical,Outside,1991,144.40242154483954
yft,historical,CCZ,1992,6.049867566519727
yft,historical,Outside,1992,145.77733816903978
yft,historical,CCZ,1993,6.541345224715769
yft,historical,Outside,1993,148.2088381750218
yft,historical,CCZ,1994,6.796941436516742
yft,historical,Outside,1994,147.95720761819393
yft,historical,CCZ,1995,6.443775080610067
yft,historical,Outside,1995,142.940910689363
yft,historical,CCZ,1996,6.1505896191423135
yft,historical,Outside,1996,140.38866645372764
yft,historical,CCZ,1997,6.222405032565196
yft,historical,Outside,1997,139.2094118722598
yft,historical,CCZ,1998,5.953735641514261
yft,historical,Outside,1998,139.3432222969956
yft,historical,CCZ,1999,6.316871356374274
yft,historical,Outside,1999,142.54242875464843
yft,historical,CCZ,2000,6.702408737347771
yft,historical,Outside,2000,143.70495207844942
yft,historical,CCZ,2001,6.092682314105332
yft,historical,Outside,2001,140.45018196039504
yft,historical,CCZ,2002,5.646304652560502
yft,historical,Outside,2002,139.2503741382825
yft,historical,CCZ,2003,5.781718034297228
yft,historical,Outside,2003,140.49815160488166
yft,historical,CCZ,2004,5.990396900412937
yft,historical,Outside,2004,141.0867990677798
yft,historical,CCZ,2005,5.820805497622739
yft,historical,Outside,2005,140.33734189695193
yft,historical,CCZ,2006,5.69891486208265
yft,historical,Outside,2006,138.69074556062697
yft,historical,CCZ,2007,5.622152025345713
yft,historical,Outside,2007,137.1395879072079
yft,historical,CCZ,2008,5.599711531617989
yft,historical,Outside,2008,137.11568037359393
yft,historical,CCZ,2009,5.378630547163387
yft,historical,Outside,2009,136.2326868425201
yft,historical,CCZ,2010,4.828452155770113
yft,historical,Outside,2010,135.17549766782517
yft,rcp45,CCZ,2011,5.147529318201123
yft,rcp45,Outside,2011,136.99418932505887
yft,rcp85,CCZ,2011,5.147529318201123
